File,Object,x0,y0,x1,y1
1000058_20204_2_0,Liver,66,65,231,209
1000058_20204_2_0,Body,41,36,332,242
1000058_20204_2_0,Spleen,236,142,297,207
1000058_20204_2_0,Aorta,194,140,220,165
1000197_20204_2_0,Liver,56,91,211,229
1000197_20204_2_0,Body,36,57,312,269
1000197_20204_2_0,Spleen,211,160,296,235
1000197_20204_2_0,Aorta,175,157,201,181
1000197_20204_2_0,IVC,144,149,164,167
1000200_20204_2_0,Liver,50,62,211,236
1000200_20204_2_0,Body,25,31,346,265
1000200_20204_2_0,Cyst,97,182,127,210
1000200_20204_2_0,Cyst,140,66,172,90
1000200_20204_2_0,Spleen,220,184,315,230
1000200_20204_2_0,Aorta,191,151,218,181
1000200_20204_2_0,IVC,146,151,170,169
1000344_20204_2_0,Liver,51,71,226,232
1000344_20204_2_0,Body,26,26,355,270
1000344_20204_2_0,Spleen,226,154,322,228
1000344_20204_2_0,Aorta,196,154,222,180
1000344_20204_2_0,IVC,162,156,181,171
1000344_20204_3_0,Liver,52,74,255,233
1000344_20204_3_0,Body,22,23,364,270
1000344_20204_3_0,Spleen,234,156,312,226
1000344_20204_3_0,Aorta,200,153,226,179
1000344_20204_3_0,IVC,169,155,185,169
1000440_20204_2_0,Liver,75,101,249,238
1000440_20204_2_0,Body,46,67,350,269
1000440_20204_2_0,Spleen,242,197,316,234
1000440_20204_2_0,Aorta,212,172,239,198
1000440_20204_2_0,IVC,163,167,187,189
1000695_20204_2_0,Liver,71,74,221,224
1000695_20204_2_0,Body,22,28,357,260
1000695_20204_2_0,Spleen,237,153,313,223
1000695_20204_2_0,Aorta,196,146,223,170
1000829_20204_2_0,Liver,65,80,226,221
1000829_20204_2_0,Body,47,53,325,248
1000829_20204_2_0,Spleen,248,141,303,217
1000829_20204_2_0,Aorta,193,139,222,166
1000829_20204_2_0,IVC,150,145,174,161
1000861_20204_2_0,Liver,65,109,119,203
1000861_20204_2_0,Body,49,43,339,249
1000861_20204_2_0,Kidney,109,158,164,204
1000861_20204_2_0,Kidney,229,159,291,208
1001001_20204_2_0,Liver,91,84,269,195
1001001_20204_2_0,Body,84,67,320,211
1001001_20204_2_0,IVC,160,119,192,146
1001222_20204_2_0,Liver,83,121,299,237
1001222_20204_2_0,Body,62,77,360,271
1001222_20204_2_0,Spleen,227,158,312,237
1001222_20204_2_0,Aorta,203,175,230,199
1001222_20204_2_0,IVC,169,167,190,185
1001334_20204_2_0,Liver,81,97,230,234
1001334_20204_2_0,Body,59,68,327,270
1001334_20204_2_0,Spleen,233,194,290,232
1001334_20204_2_0,Aorta,191,165,217,190
1001334_20204_2_0,IVC,160,169,181,190
1001471_20204_2_0,Liver,70,87,270,228
1001471_20204_2_0,Body,31,32,341,270
1001471_20204_2_0,Spleen,215,155,296,228
1001471_20204_2_0,Aorta,188,162,211,184
1001471_20204_2_0,IVC,158,157,174,172
1001471_20204_3_0,Liver,81,85,279,227
1001471_20204_3_0,Body,40,31,343,266
